1559628553535,1559628553541,6,ArrayList,1000000
1559628553549,1559628553558,9,LinkedList,100000
1559628553558,1559628553564,6,LinkedList,200000
1559628553564,1559628553573,9,LinkedList,300000
1559628553573,1559628553583,10,LinkedList,400000
1559628553583,1559628553598,15,LinkedList,500000
1559628553598,1559628553614,16,LinkedList,600000
1559628553614,1559628555633,2019,LinkedList,700000
1559628555633,1559628555641,8,LinkedList,800000
1559628555641,1559628555652,11,LinkedList,900000
1559628555652,1559628559392,3740,LinkedList,1000000
