1559628564367,1559628564369,2,LinkedList,1000000
1559628564383,1559628564383,0,HashMap,100000
1559628564390,1559628564390,0,HashMap,200000
1559628564399,1559628564399,0,HashMap,300000
1559628564411,1559628564411,0,HashMap,400000
1559628564417,1559628564417,0,HashMap,500000
1559628564424,1559628564424,0,HashMap,600000
1559628564432,1559628564432,0,HashMap,700000
1559628564445,1559628564445,0,HashMap,800000
1559628564861,1559628564861,0,HashMap,900000
1559628564879,1559628564879,0,HashMap,1000000
