1559628559514,1559628559590,76,HashMap,1000000
1559628559597,1559628559625,28,TreeMap,100000
1559628559625,1559628559659,34,TreeMap,200000
1559628559659,1559628559706,47,TreeMap,300000
1559628559706,1559628559768,62,TreeMap,400000
1559628559768,1559628559839,71,TreeMap,500000
1559628559839,1559628559924,85,TreeMap,600000
1559628559924,1559628560020,96,TreeMap,700000
1559628560020,1559628560134,114,TreeMap,800000
1559628560134,1559628560270,136,TreeMap,900000
1559628560270,1559628560429,159,TreeMap,1000000
