1559628566219,1559628566220,1,LinkedList,1000000
1559628566234,1559628566234,0,HashMap,100000
1559628566241,1559628566242,1,HashMap,200000
1559628566249,1559628566249,0,HashMap,300000
1559628574852,1559628574852,0,HashMap,400000
1559628574859,1559628574859,0,HashMap,500000
1559628574868,1559628574868,0,HashMap,600000
1559628574878,1559628574878,0,HashMap,700000
1559628574894,1559628574894,0,HashMap,800000
1559628574906,1559628574906,0,HashMap,900000
1559628574920,1559628574920,0,HashMap,1000000
