1559628560575,1559628560579,4,ArrayList,1000000
1559628560592,1559628560593,1,LinkedList,100000
1559628560597,1559628560599,2,LinkedList,200000
1559628560602,1559628560602,0,LinkedList,300000
1559628560610,1559628560611,1,LinkedList,400000
1559628560618,1559628560619,1,LinkedList,500000
1559628560625,1559628560626,1,LinkedList,600000
1559628560632,1559628560634,2,LinkedList,700000
1559628564346,1559628564348,2,LinkedList,800000
1559628564357,1559628564359,2,LinkedList,900000
1559628564367,1559628564369,2,LinkedList,1000000
