1559628566132,1559628566134,2,ArrayList,1000000
1559628566149,1559628566149,0,LinkedList,100000
1559628566153,1559628566153,0,LinkedList,200000
1559628566158,1559628566158,0,LinkedList,300000
1559628566163,1559628566164,1,LinkedList,400000
1559628566169,1559628566170,1,LinkedList,500000
1559628566177,1559628566178,1,LinkedList,600000
1559628566186,1559628566187,1,LinkedList,700000
1559628566196,1559628566198,2,LinkedList,800000
1559628566207,1559628566209,2,LinkedList,900000
1559628566219,1559628566220,1,LinkedList,1000000
